SOE_18,COMNAME,Fed_Managed
Other,SHOAL FLOUNDER,NA
Other,SHORT BIGEYE,NA
Other,SHORTBILL SPEARFISH,NA
Other,SHORTFIN MAKO,NA
Other,SHORTFIN SEAROBIN,NA
Other,SHORTHORN SCULPIN,NA
Other,SHORTJAW LIZARDFISH,NA
Other,SHORTNOSE BATFISH,NA
Other,SHORTNOSE GREENEYE,NA
Other,SHORTNOSE STURGEON,NA
Other,SHORTSPINE BOARFISH,NA
Other,SHORTTAIL SNAKE EEL,NA
Other,SHORTWING SEAROBIN,NA
Other,SHRIMP (PINK -BROWN - WHITE),NA
Other,SHRIMP EEL,NA
Other,SHRIMP FLOUNDER,NA
Other,SHRIMP UNCL,NA
Other,"SHRIMP,ATLANTIC & GULF,BROWN",NA
Other,"SHRIMP,CRANGON",NA
Other,"SHRIMP,NORTHERN BROWN",NA
Other,"SHRIMP,ROCK",NA
Other,"SHRIMP,SCARLET",NA
Other,"SHRIMP,UNC (CARIDEA)",NA
Other,SILK SNAPPER,NA
Other,SILKY SHARK,NA
Other,SILVER ANCHOVY,NA
Piscivore,SILVER HAKE,NEFMC
Piscivore,SILVER HAKE,NEFMC
Piscivore,SILVER HAKE,NEFMC
Other,SILVER HATCHETFISH,NA
Other,SILVER JENNY,NA
Other,SILVER PERCH,NA
Other,SILVER PORGY,NA
Other,SILVER RAG,NA
Other,SILVER SEATROUT,NA
Other,SILVERSIDE UNCL,NA
Other,SILVERSIDES,NA
Other,SILVERSTRIPE HALFBEAK,NA
Other,SIMONYS FROSTFISH,NA
Other,SINGLESPOT FROGFISH,NA
Other,"SKATE,SHORTTAIL",NA
Other,SKATES,NA
Other,"SKATES,LITTLE/WINTER MIXED",NA
Other,SKILLETFISH,NA
Other,SKIPJACK TUNA,NA
Other,SLENDER LIGHTFISH,NA
Other,SLENDER SEAROBIN,NA
Other,SLENDER SNIPE EEL,NA
Other,SLENDER TONGUEFISH,NA
Other,SLICKHEADS,NA
Other,SLIPPERY DICK,NA
Other,SLOPE HATCHETFISH,NA
Other,SMALLEYE HAMMERHEAD SHARK,NA
Other,SMALLMOUTH FLOUNDER,NA
Other,SMALLTAIL SHARK,NA
Other,SMELTS,NA
Other,SMOOTH ASTARTE,NA
Other,SMOOTH BUTTERFLY RAY,NA
Benthivore,SMOOTH DOGFISH,NA
Benthivore,SMOOTH DOGFISH,NA
Other,SMOOTH HAMMERHEAD SHARK,NA
Other,SMOOTH PUFFER,NA
Piscivore,SMOOTH SKATE,NEFMC
Other,SMOOTH TRUNKFISH,NA
Other,SMOOTHHEAD SCORPIONFISH,NA
Other,"SNAIL,SLIPPER LIMPET",NA
Benthos,SNAILS(CONCHS),NA
Other,SNAKE EEL UNCL,NA
Other,SNAKE MACKEREL,NA
Other,SNAKE MACKEREL UNCL,NA
Other,SNAKEBLENNY,NA
Other,SNAKEFISH,NA
Other,"SNAKEHEAD,NORTHERN",NA
Other,SNAPPER EEL,NA
Other,SNAPPER UNCL,NA
Other,"SNAPPER,CUBERA",NA
Other,SNOW CRAB,NA
Other,SNOWY GROUPER,NA
Other,SNUBNOSE EEL,NA
Other,SOUTHERN EAGLE RAY,NA
Other,SOUTHERN FLOUNDER,NA
Other,SOUTHERN HAKE,NA
Other,SOUTHERN KINGFISH,NA
Other,SOUTHERN PUFFER,NA
Other,SOUTHERN QUAHOG,NA
Other,SOUTHERN QUAHOG CLAPPER,NA
Other,SOUTHERN STARGAZER,NA
Other,SOUTHERN STINGRAY,NA
Other,SPADEFISH,NA
Other,SPANISH MACKEREL,NA
Other,SPANISH SARDINE,NA
Other,SPANISH SLIPPER LOBSTER,NA
Other,SPEARFISH REMORA,NA
Other,"SPEARFISH,ROUNDSCALE",NA
Other,SPEARFISHES,NA
Other,SPECKLED HIND,NA
Other,SPECKLED SWIMMING CRAB,NA
Other,SPECKLED WORM EEL,NA
Benthivore,SPIDER CRAB UNCL,NA
Other,SPINNER SHARK,NA
Other,SPINY BUTTERFLY RAY,NA
Piscivore,SPINY DOGFISH,JOINT
Piscivore,SPINY DOGFISH,JOINT
Piscivore,SPINY DOGFISH,JOINT
Other,SPINY FLOUNDER,NA
Other,SPINY LEBBEID,NA
Other,SPINY SEAROBIN,NA
Other,SPINYCHEEK SCORPIONFISH,NA
Other,SPINYCHEEK SOLDIERFISH,NA
Other,SPINYTAIL SKATE,NA
Other,SPOON-NOSE EEL UNCL,NA
Other,SPOONARM OCTOPUS,NA
Other,SPOT,NA
Other,SPOTFIN BUTTERFLYFISH,NA
Other,SPOTFIN DRAGONET,NA
Other,SPOTFIN FLOUNDER,NA
Other,SPOTFIN FLYINGFISH,NA
Other,SPOTFIN HOGFISH,NA
Other,SPOTFIN MOJARRA,NA
Other,SPOTTAIL PINFISH,NA
Other,SPOTTAIL TONGUEFISH,NA
Other,SPOTTED BURRFISH,NA
Other,SPOTTED DRIFTFISH,NA
Other,SPOTTED DRUM,NA
Other,SPOTTED EAGLE RAY,NA
Other,SPOTTED GOATFISH,NA
Other,SPOTTED HAKE,NA
Other,SPOTTED HAKE,NA
Other,SPOTTED LANTERNFISH,NA
Other,SPOTTED MORAY,NA
Other,SPOTTED SCORPIONFISH,NA
Other,SPOTTED SEATROUT,NA
Other,SPOTTED SOAPFISH,NA
Other,SPOTTED SPOON-NOSE EEL,NA
Other,SPOTTED TINSELFISH,NA
Other,SPOTTED TRUNKFISH,NA
Other,SPOTTED WHIFF,NA
Other,SPOTTEDFIN TONGUEFISH,NA
Other,SPREADFIN SKATE,NA
Benthivore,SQUID CUTTLEFISH AND OCTOPOD UNCL,NA
Other,SQUIDS,NA
Other,"SQUIDS,LOLIGINIDAE",NA
Other,SQUIRRELFISH,NA
Other,SQUIRRELFISH UNCL,NA
Other,STAR DRUM,NA
Other,STARFISH,NA
Other,STARGAZER UNCL,NA
Other,STIMPSON'S WHELK,NA
Other,STINGRAYS,NA
Other,STOUT BEARDFISH,NA
Other,STRAIGHTMOUTH TONGUEFISHES,NA
Other,STREAMER BASS,NA
Other,STREAMER SEAROBIN,NA
Other,STRIATED ARGENTINE,NA
Other,STRIATED FROGFISH,NA
Other,STRIPED ANCHOVY,NA
Piscivore,STRIPED BASS,NA
Other,STRIPED BLENNY,NA
Other,STRIPED BONITO,NA
Other,STRIPED BURRFISH,NA
Other,STRIPED CUSK-EEL,NA
Other,STRIPED GRUNT,NA
Other,STRIPED KILLIFISH,NA
Other,STRIPED MARLIN,NA
Other,STRIPED MULLET,NA
Benthivore,STRIPED SEAROBIN,NA
Other,"STURGEON,ATLANTIC",NA
Other,"STURGEONS,UNC",NA
Other,SUCKERS,NA
Other,SUGAR KELP,NA
Piscivore,SUMMER FLOUNDER,MAFMC
Piscivore,SUMMER FLOUNDER,MAFMC
Other,SUMMER FLOUNDERS,NA
Other,SUNFISHES,NA
Other,SUNSHINEFISH,NA
Other,SWIMMING CRAB UNCL,NA
Apex Predator,SWORDFISH,NA
Other,TARPON,NA
Other,TATTLER,NA
Benthivore,TAUTOG,NA
Other,TEN-RIDGED WHELK,NA
Other,TERRAPIN,NA
Piscivore,THORNY SKATE,NEFMC
Piscivore,THORNY SKATE,NEFMC
Piscivore,THORNY SKATE,NEFMC
Piscivore,THORNY SKATE,NEFMC
Other,THREE-EYE FLOUNDER,NA
Other,THREEBEARD ROCKLING,NA
Other,THREESPINE STICKLEBACK,NA
Other,THRESHER SHARK,NA
Other,TIDEWATER SILVERSIDE,NA
Other,TIGER SHARK,NA
Benthivore,TILEFISH,MAFMC
Other,"TILEFISH,UNC",NA
Other,TOADFISHES,NA
Other,TOMTATE,NA
Other,TRASH,NA
Other,TRIGGERFISH FILEFISH UNCL,NA
Other,TRIPLETAIL,NA
Other,TRUMPETFISH,NA
Other,TRUNKFISH,NA
Other,"TUNA,UNC",NA
Other,"TURTLE,KEMPS RIDLEY",NA
Other,"TURTLE,OLIVE RIDLEY",NA
Other,"TURTLES,SLIDERS",NA
Other,"TURTLES,SNAPPING",NA
Other,"TURTLES,UNC",NA
Other,TWOSPOT CARDINALFISH,NA
Other,TWOSPOT FLOUNDER,NA
Other,UNCLASSIFIED FISH,NA
Other,UNICORN FILEFISH,NA
Other,UNICORN OCTOPUS,NA
Other,UNICORNFISH,NA
Other,VERMILION SNAPPER,NA
Other,VERRILL'S BOBTAIL,NA
Other,VIPERFISH,NA
Other,WAHOO,NA
Other,WALLEYE,NA
Other,WARSAW GROUPER,NA
Other,WAVED WHELK,NA
Piscivore,WEAKFISH,NA
Piscivore,WEAKFISH,NA
Other,WEB BURRFISH,NA
Other,WEITZMANS PEARLSIDES,NA
Other,WENCHMAN,NA
Other,WESTERN SOFTHEAD GRENADIER,NA
Other,"WHELK,LIGHTNING",NA
Other,"WHELK,TRUE,UNC",NA
Other,WHITE BARRACUDINA,NA
Other,WHITE CRAB,NA
Other,WHITE GRUNT,NA
Piscivore,WHITE HAKE,NEFMC
Piscivore,WHITE HAKE,NEFMC
Piscivore,WHITE HAKE,NEFMC
Piscivore,WHITE HAKE,NEFMC
Piscivore,WHITE HAKE,NEFMC
Piscivore,WHITE HAKE,NEFMC
Other,WHITE MARLIN,NA
Other,WHITE MULLET,NA
Other,WHITE PERCH,NA
Other,WHITE SHARK,NA
Other,WHITE SHRIMP,NA
Other,WHITEBONE PORGY,NA
Other,WHITENOSE PIPEFISH,NA
Piscivore,WINDOWPANE,NA
Piscivore,WINDOWPANE,NA
Other,WINGED KELP,NA
Benthivore,WINTER FLOUNDER,NEFMC
Benthivore,WINTER FLOUNDER,NEFMC
Benthivore,WINTER FLOUNDER,NEFMC
Benthivore,WINTER FLOUNDER,NEFMC
Benthivore,WINTER FLOUNDER,NEFMC
Benthivore,WINTER FLOUNDER,NEFMC
Piscivore,WINTER SKATE,NEFMC
Piscivore,WINTER SKATE,NEFMC
Piscivore,WINTER SKATE,NEFMC
Piscivore,WINTER SKATE,NEFMC
Benthivore,WITCH FLOUNDER,NEFMC
Benthivore,WITCH FLOUNDER,NEFMC
Other,WOLF EELPOUT,NA
Other,"WOLFFISH,NORTHERN",NA
Other,"WOLFFISH,SPOTTED",NA
Other,WORMWEED,NA
Other,WRASSE UNCL,NA
Other,WRECKFISH,NA
Other,WRYMOUTH,NA
Other,YELLOW BOX CRAB,NA
Other,YELLOW JACK,NA
Other,YELLOW STINGRAY,NA
Other,YELLOWEDGE GROUPER,NA
Other,YELLOWFIN BASS,NA
Other,YELLOWFIN GROUPER,NA
Apex Predator,YELLOWFIN TUNA,NA
Other,YELLOWMOUTH GROUPER,NA
Benthivore,YELLOWTAIL FLOUNDER,NEFMC
Benthivore,YELLOWTAIL FLOUNDER,NEFMC
Benthivore,YELLOWTAIL FLOUNDER,NEFMC
Other,YELLOWTAIL REEFFISH,NA
Other,YELLOWTAIL SNAPPER,NA
